Category,Line Item,Planned Cost,Actual Cost,Notes
Festival Submissions,Submission fees,,,
Festival Submissions,Late/extended deadline surcharges,,,
Festival Submissions,Premiere-status strategy costs,,,
Travel,Airfare / train / mileage,,,
Travel,Hotel / lodging,,,
Travel,Ground transportation,,,
Travel,Meals / per diem,,,
Travel,Travel insurance,,,
Deliverables,DCP creation / mastering,,,
Deliverables,Closed captions / subtitles,,,
Deliverables,Screeners / hosting platform,,,
Deliverables,Drive / shipping / courier,,,
Marketing,Poster / key art,,,
Marketing,Postcards / printed materials,,,
Marketing,Press kit / EPK updates,,,
Marketing,Trailer / teaser edits,,,
Publicity,Publicist / PR support,,,
Publicity,Press outreach tools,,,
Festival Attendance,Badges / passes / guest tickets,,,
Festival Attendance,Reception / event costs,,,
Festival Attendance,Networking / meeting expenses,,,
Follow-Up,Post-festival outreach,,,
Follow-Up,Thank-you materials / shipping,,,
Follow-Up,Sales / distribution follow-up costs,,,
Contingency,Contingency reserve (10-15%),,,
TOTAL,Total Festival Budget,,,
